epoch,loss,micro_p,micro_r,micro_f1,macro_p,macro_r,macro_f1,max_micro_p,max_micro_r,max_micro_f1,max_macro_p,max_macro_r,max_macro_f1
1,0.15524228311763824,0.7422794117647059,0.7422794117647059,0.742279411764706,0.7508225616921269,0.7423471249714128,0.7401013767108359,0.7422794117647059,0.7422794117647059,0.742279411764706,0.7508225616921269,0.7423471249714128,0.7401013767108359
2,0.021089605871555946,0.7077205882352942,0.7077205882352942,0.7077205882352942,0.7098559120617944,0.7077574652667957,0.7069988177787112,0.7422794117647059,0.7422794117647059,0.742279411764706,0.7508225616921269,0.7423471249714128,0.7401013767108359
3,0.04008741900962081,0.675,0.675,0.675,0.7463776545555598,0.6751977050160602,0.6497735052071953,0.7422794117647059,0.7422794117647059,0.742279411764706,0.7508225616921269,0.7423471249714128,0.7401013767108359
4,0.04405167497165304,0.7154411764705882,0.7154411764705882,0.7154411764705884,0.7156107651045784,0.7154512951185635,0.7153913207114568,0.7422794117647059,0.7422794117647059,0.742279411764706,0.7508225616921269,0.7423471249714128,0.7401013767108359
5,0.11738531599323848,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
6,0.10093447242123235,0.7080882352941177,0.7080882352941177,0.7080882352941177,0.7154963145059412,0.7081562003439665,0.705601221390695,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
7,0.04351399253428816,0.7088235294117647,0.7088235294117647,0.7088235294117649,0.724947331838813,0.7089217716921343,0.7035730738937243,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
8,0.02013563003232675,0.7283088235294117,0.7283088235294117,0.7283088235294117,0.7335150011388791,0.7283635533972499,0.7268170327285992,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
9,0.01405730860062047,0.7625,0.7625,0.7625,0.7625090631672342,0.7624977089628617,0.7624967898030628,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
10,0.011044493350818708,0.7253676470588235,0.7253676470588235,0.7253676470588234,0.7363325249381226,0.7252882922190161,0.7220987844283736,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
11,0.23800888940574022,0.7371323529411765,0.7371323529411765,0.7371323529411765,0.7372253377296605,0.737124911940372,0.7371024685304978,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
12,0.15673043322182184,0.7202205882352941,0.7202205882352941,0.7202205882352941,0.7377258811230585,0.7203201883219011,0.7150327153709721,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
13,0.04862551329092175,0.6775735294117647,0.6775735294117647,0.6775735294117647,0.6780921440716194,0.6775930890966095,0.6773536899804271,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
14,0.12018772622059186,0.6930147058823529,0.6930147058823529,0.6930147058823529,0.6998349280957976,0.6930823924537156,0.6904203274658316,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
15,0.20264950100748516,0.7102941176470589,0.7102941176470589,0.7102941176470589,0.7257734650363343,0.7103901980915863,0.7053024549145864,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
16,0.04070766919989975,0.6816176470588236,0.6816176470588236,0.6816176470588236,0.6990293101784167,0.681726147127026,0.674580017683466,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
17,0.02838363548761732,0.775,0.775,0.775,0.7757283968953388,0.7750188013726218,0.774859287054409,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
18,0.015542285232014142,0.725,0.725,0.7250000000000001,0.7328735359552114,0.7250674335355933,0.722694719946964,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
19,0.1476760257889072,0.76875,0.76875,0.76875,0.7874487537892714,0.7688436790893594,0.764968833175925,0.7871323529411764,0.7871323529411764,0.7871323529411764,0.7945027688047992,0.7870741171464735,0.7857688240913764
20,0.07679075352841318,0.7985294117647059,0.7985294117647059,0.7985294117647059,0.7988397787364206,0.7985411973081733,0.7984813636901966,0.7985294117647059,0.7985294117647059,0.7985294117647059,0.7988397787364206,0.7985411973081733,0.7984813636901966
21,0.024694196083596343,0.7727941176470589,0.7727941176470589,0.772794117647059,0.7818582101263801,0.7728599550497162,0.7709812589818084,0.7985294117647059,0.7985294117647059,0.7985294117647059,0.7988397787364206,0.7985411973081733,0.7984813636901966
22,0.28083874710873064,0.6981617647058823,0.6981617647058823,0.6981617647058823,0.7032521271712447,0.6982197222208706,0.6962993900066516,0.7985294117647059,0.7985294117647059,0.7985294117647059,0.7988397787364206,0.7985411973081733,0.7984813636901966
23,0.3447858175394057,0.7301470588235294,0.7301470588235294,0.7301470588235293,0.731395961398261,0.7301198800388624,0.729767043728773,0.7985294117647059,0.7985294117647059,0.7985294117647059,0.7988397787364206,0.7985411973081733,0.7984813636901966
24,0.0925633445794858,0.7378676470588236,0.7378676470588236,0.7378676470588236,0.7641441272767424,0.7379834764184021,0.7312443294973123,0.7985294117647059,0.7985294117647059,0.7985294117647059,0.7988397787364206,0.7985411973081733,0.7984813636901966
25,0.018798121535511133,0.7334558823529411,0.7334558823529411,0.7334558823529411,0.7352588365267073,0.7334879073788426,0.7329617909218114,0.7985294117647059,0.7985294117647059,0.7985294117647059,0.7988397787364206,0.7985411973081733,0.7984813636901966
26,0.022331129785839277,0.7595588235294117,0.7595588235294117,0.7595588235294117,0.7805356319865137,0.7596592558711375,0.7550258211113405,0.7985294117647059,0.7985294117647059,0.7985294117647059,0.7988397787364206,0.7985411973081733,0.7984813636901966
