epoch,loss,micro_p,micro_r,micro_f1,macro_p,macro_r,macro_f1,max_micro_p,max_micro_r,max_micro_f1,max_macro_p,max_macro_r,max_macro_f1
1,0.4537877566891869,0.7757879656160458,0.7757879656160458,0.7757879656160458,0.6317874692874693,0.653152092055436,0.6401845570572982,0.7757879656160458,0.7757879656160458,0.7757879656160458,0.6317874692874693,0.653152092055436,0.6401845570572982
2,0.06571121549871015,0.914756446991404,0.914756446991404,0.914756446991404,0.8950286955172948,0.7908711930587232,0.8302416433423156,0.914756446991404,0.914756446991404,0.914756446991404,0.8950286955172948,0.7908711930587232,0.8302416433423156
3,0.02782399124576171,0.8424068767908309,0.8424068767908309,0.8424068767908309,0.7252370109860912,0.7178410944431952,0.721411880814502,0.914756446991404,0.914756446991404,0.914756446991404,0.8950286955172948,0.7908711930587232,0.8302416433423156
4,0.022169470644286392,0.8961318051575932,0.8961318051575932,0.8961318051575932,0.8825188636847459,0.7308774033742714,0.7776716037585603,0.914756446991404,0.914756446991404,0.914756446991404,0.8950286955172948,0.7908711930587232,0.8302416433423156
5,0.012935836371922816,0.8839541547277937,0.8839541547277937,0.8839541547277937,0.8007244343163338,0.786839841672645,0.7934760374050263,0.914756446991404,0.914756446991404,0.914756446991404,0.8950286955172948,0.7908711930587232,0.8302416433423156
6,0.0169724419470999,0.91189111747851,0.91189111747851,0.91189111747851,0.9043619901844644,0.7728969694373954,0.8186467261291805,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.7908711930587232,0.8302416433423156
7,0.01428789135319867,0.8653295128939829,0.8653295128939829,0.8653295128939829,0.7677556515093322,0.7463335938810546,0.7561934488973115,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.7908711930587232,0.8302416433423156
8,0.06216098917232701,0.8875358166189111,0.8875358166189111,0.8875358166189111,0.8009685614480788,0.8247352585311534,0.8119649173680992,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
9,0.08782198912108949,0.8911174785100286,0.8911174785100286,0.8911174785100286,0.8218342630863948,0.7781846605205958,0.7972008456336326,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
10,0.020657728860265036,0.836676217765043,0.836676217765043,0.836676217765043,0.7264722918358496,0.7777063948404412,0.7460319486778482,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
11,0.03685986605952446,0.8330945558739254,0.8330945558739254,0.8330945558739254,0.7205310995208214,0.7674183289968199,0.738718526462071,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
12,0.014445366538567808,0.8624641833810889,0.8624641833810889,0.8624641833810889,0.7629445310918767,0.7364791793817524,0.7483777937995675,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
13,0.007679085108894188,0.8488538681948424,0.8488538681948424,0.8488538681948424,0.7376026751026751,0.7444794220837394,0.74093921364274,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
14,0.34546284524217763,0.8603151862464183,0.8603151862464183,0.8603151862464185,0.757462877624168,0.7871450037297585,0.7706050542392391,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
15,0.1965155711380225,0.8065902578796562,0.8065902578796562,0.8065902578796562,0.6935563445782549,0.756245114730226,0.713412408759124,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
16,0.08078233022551308,0.8531518624641834,0.8531518624641834,0.8531518624641834,0.7464348014311726,0.7763126429889464,0.7595479656353057,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
17,0.042115903329815144,0.8137535816618912,0.8137535816618912,0.8137535816618912,0.7078141309808597,0.7849410555394944,0.7304699102952533,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
18,0.21636670959700216,0.8660458452722063,0.8660458452722063,0.8660458452722063,0.7675116890707189,0.7613829016450198,0.7643779779714729,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
19,0.4158070229428552,0.6103151862464183,0.6103151862464183,0.6103151862464183,0.6378506266078457,0.738110279499891,0.5758384103770529,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8247352585311534,0.8302416433423156
20,2.4184240766256546,0.8137535816618912,0.8137535816618912,0.8137535816618912,0.7209619060704893,0.8271640629740273,0.7452268643306379,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8271640629740273,0.8302416433423156
21,0.24135998697060182,0.8230659025787965,0.8230659025787965,0.8230659025787965,0.7136820540835838,0.7792107902448078,0.7355750390910478,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8271640629740273,0.8302416433423156
22,0.2522145053889527,0.7829512893982808,0.7829512893982808,0.7829512893982808,0.6988316538070787,0.8101410169927082,0.7156908806775218,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8271640629740273,0.8302416433423156
23,0.07852876078617216,0.8882521489971347,0.8882521489971347,0.8882521489971347,0.8034626592375727,0.8170491007534468,0.8099685863874346,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8271640629740273,0.8302416433423156
24,0.04511691916817538,0.8703438395415473,0.8703438395415473,0.8703438395415473,0.7739471608368556,0.8321912063359496,0.7970302716293343,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
25,0.03965368346295187,0.8789398280802292,0.8789398280802292,0.8789398280802292,0.7873902452082664,0.8065397478040824,0.7963530269876002,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
26,0.03538196324234885,0.8889684813753582,0.8889684813753582,0.8889684813753582,0.8341282767178533,0.7460284318239412,0.7788861741013355,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
27,0.02589119370732571,0.8939828080229226,0.8939828080229226,0.8939828080229227,0.8245845581618574,0.7896630368443032,0.8053534215395515,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
28,0.021814495700412974,0.8896848137535817,0.8896848137535817,0.8896848137535817,0.824642846183857,0.7643256632367166,0.7891321406151914,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
29,0.01785103926930575,0.8416905444126075,0.8416905444126075,0.8416905444126075,0.7349330866904175,0.7937336488459164,0.7567274960948311,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
30,0.05215387587102032,0.8216332378223495,0.8216332378223495,0.8216332378223495,0.7166708669354839,0.7945831058002206,0.7403721836942762,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
31,0.023200332240675588,0.8452722063037249,0.8452722063037249,0.8452722063037249,0.7383925412886684,0.7910300200942968,0.7587557603686637,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
32,0.12047064462890192,0.8946991404011462,0.8946991404011462,0.8946991404011462,0.8618459069020867,0.7413778334564689,0.7823393335009181,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
33,0.05084842873470364,0.8760744985673352,0.8760744985673352,0.8760744985673353,0.7913212264771681,0.752838364045842,0.7696007021460292,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
34,0.042172311511433504,0.8975644699140402,0.8975644699140402,0.8975644699140402,0.8319481249498113,0.7950792172147092,0.8115947363404108,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
35,0.01543243799935172,0.8789398280802292,0.8789398280802292,0.8789398280802292,0.7868759158467657,0.8130355951017028,0.7988120973346807,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8321912063359496,0.8302416433423156
36,0.014478164859725287,0.8646131805157593,0.8646131805157593,0.8646131805157593,0.768541150564272,0.8482095374742575,0.7966625230142258,0.914756446991404,0.914756446991404,0.914756446991404,0.9043619901844644,0.8482095374742575,0.8302416433423156
