epoch,loss,micro_p,micro_r,micro_f1,macro_p,macro_r,macro_f1,max_micro_p,max_micro_r,max_micro_f1,max_macro_p,max_macro_r,max_macro_f1
1,0.2022016758976471,0.784608580274215,0.784608580274215,0.784608580274215,0.8096976925159021,0.7865392591896947,0.7809040956605915,0.784608580274215,0.784608580274215,0.784608580274215,0.8096976925159021,0.7865392591896947,0.7809040956605915
2,0.04684888861167045,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
3,0.03293653599789,0.7589562140645731,0.7589562140645731,0.7589562140645731,0.7594691154169121,0.7592323464732077,0.7589333906143961,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
4,0.0204498579995873,0.7160548429898275,0.7160548429898275,0.7160548429898275,0.7205260031626011,0.7150067695004656,0.7139269733958522,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
5,0.01785689175636175,0.7377266696152145,0.7377266696152145,0.7377266696152145,0.7379491945477075,0.7374408157835012,0.7374750377945266,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
6,0.031140213311586454,0.7585139318885449,0.7585139318885449,0.758513931888545,0.7636722631433865,0.7575102325108194,0.7568146718146718,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
7,0.09798167899475949,0.7169394073418841,0.7169394073418841,0.7169394073418841,0.7327538093476877,0.7186693431628045,0.7130569555292218,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
8,0.054157969630692325,0.739938080495356,0.739938080495356,0.739938080495356,0.7409951583919898,0.7403501357813099,0.7398350246257605,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
9,0.020341774746642168,0.7089783281733746,0.7089783281733746,0.7089783281733746,0.7211678960103802,0.7072981475829361,0.7037983403414882,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
10,0.027019419390607067,0.7439186200796107,0.7439186200796107,0.7439186200796107,0.7478443049230686,0.7447377894646225,0.7432887080634336,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
11,0.023483309019461326,0.7014595311808934,0.7014595311808934,0.7014595311808934,0.710588826797224,0.6999538265286158,0.6971406890072891,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
12,0.18702456341860138,0.7536488279522335,0.7536488279522335,0.7536488279522335,0.7626902509255451,0.7548822576479703,0.7520775255176415,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
13,0.3507938052761753,0.7655904467049978,0.7655904467049978,0.7655904467049978,0.781579131939168,0.7639209103217274,0.76141811608053,0.7921273772666961,0.7921273772666961,0.7921273772666962,0.8259559497787261,0.7943202717191401,0.7874044323236009
14,0.7677254714473304,0.8098186643078283,0.8098186643078283,0.8098186643078282,0.8180878490904433,0.8109110260684462,0.8089206650188989,0.8098186643078283,0.8098186643078283,0.8098186643078282,0.8259559497787261,0.8109110260684462,0.8089206650188989
